ARMOR,LONGSWD,KNIFE,FIRE_ROD,CLUB,DICE,STAFF,BOW,HALBERD,STICK,SHURIKEN,GELBLADE,FLAMBARD,ICEBARD,ZAPLANCE,EYEBALL,AXE,HAMMER,CHAKRAM,WHIP,LEEK,WOODSWD,RAPIER,PISTOL,MONKSTAF,THIEFSWD,BROADSWD,FLAIL,ICICLE,HOLYWTR,SCYTHE,TONFA,MALLET,BEAMSWD,LEXICON,HOT_WING,HOOK,FISHYROD,FISH,CLEAVER,FORK,SHOTGUN,SAW,GLOVE,SNAKEWIP,BONEROD,CHOC_ICE,POPSICLE,BAYONET,REAPER,GOLDDICE,8HANDER,RATTLE,STRAWMAN,CARROT,BAZOOKA,HOLYSTAF,GOLFCLUB,GRABBER,STUNGUN,CRYSTAL,COCKER,SCORPION,IRONCLAW,KATANA,CARD,HOSE,DEFENDER,DARKNIFE,BOUQUET,BROOM,SCISSORS,BOLTCANE,BRUSH,NITEDICE,PENCIL,MAGICWND,LOLLIPOP,UMBRELLA,LASERGUN,PENKNIFE,BUSTER,KUNAI,SET_SQR,FOXTAIL,DUCKWHIP,CUTLASS,THORNWHP,TIGERSWD,HALBERT,ANGELARW,BIGSTICK,GIGASLAM,FIRETUNG,OLDBLADE,DETHSYTH,BUGNET,STNKNIFE,PICKAXE,ICEBALL,DXCUTTER
BONECAPE,REFLECT,,ELEMUP30,,,,,,,,ELEMUP30,,,,ABSORPTION,,,,,,,,,,BIDE,,MGUARDUP20,KILLER,POISON,POWUP30,,,,MAGIWALL,,,,,ACCUP30,,,,,POISON,ELEMUP30,,,,BIDE,,,,REFLECT,,,,,,BIDE,ELEMUP30,,CRITUP30,,,,,,CURSED,,MGUARDUP30,KILLER,ACCUP30,,KILLER,,,,,,,,,,SPDUP30,,,SLOWHIT,,,,,,,,,,,,ABSORPTION,
APRON,,EXPUP10,,,,,,,RECOVERY5,,,,,,,ACCUP20,GUARDUP30,,,POWUP30,,,,MGUARDUP30,,,,ELEMUP20,,MACH_HIT,,,ELEMUP30,,ELEMUP30,,,ELEMUP30,EXP_FARMER,GUARDUP30,,,,,,RECOVERY10,RECOVERY10,,,,,HEALER,,WEAKNESSUP,,,,,,,,,,,,SUPERMACH,,,RECOVERY5,MACH_HIT,POWUP30,,SUPERMACH,,,,ACCUP40,LUCKY,,,,,,,,,,,,,,,,,,MADMAN,,,,
ROACH,GUARDUP30,SPDUP20,,,,,,,SPDUP30,,,,,,,,,,,STINKY,,,,,,GUARDUP30,,,RECOVERY5,,,,,,DASH,,,EXPUP10,,,,,,,,DEMONDASH,DEMONDASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUARDUP40,,,,,,,,,,,,,,,NO_GUARD,,,,,,,,
OGREFACE,SPDUP20,,ELEMUP20,,,,,SUPERMACH,ELEMUP30,SPDUP20,,,,WEAKNESSUP,,POWUP30,,,CRITUP10,,,ACCUP20,,GROUNDED,,,,SPDUP20,,,,POWUP30,,,,,,,,,,ACCUP30,,MGUARDUP30,,,,,,,PETUP50,,,,,GROUNDED,,,,,,POWUP30,,,,,,,,,,ELEMUP20,,,,,,,,,,ACCUP40,,,,,WEAKNESSUP,ACCUP30,,,GUARDUP40,,,,,,ELEMUP40,,,
BIKER,CRITUP20,SPDUP20,,DASH,,,,,,,,,,,,CRITUP30,CRITUP30,,,,GUTS,,,,,ARMTWISTER,,,,,GUARDUP30,BODYSLAM,,,,,,,,,,POWUP30,GUTS,,,,,,,,,,,,,ACCUP20,GROUNDED,,,,POWUP20,,,,,,,,SURPRISE,,,,,CRITUP30,,,,,,UNFAIR,,,,,,,,,,GROUNDED,,,,ACCUP40,,,,POWUP40,,
NINOMIYA,GROUNDED,,,,,,,POWUP20,,,,,,,,ACCUP30,BIGDEFENSE,,,,,,,EXP_FARMER,,GUARDUP30,GROUNDED,,,,,,,DEATHMARCH,,,,,,,,DASH,,,,,,,,,,,,,,,,,,,,,,,,,WALL,,,EXP_FARMER,,,,LUCK_UP,EXPUP20,,,,,,GUARDUP40,,GUTS,,,,,,,,,WALL,,MGUARDUP50,,ANALYSIS,,,,
FIREJIG,GUTS,SPDUP30,SUPERMACH,,,,,,PETUP50,,,SPDUP30,,,,SPDUP20,,,SPDUP20,,,SPDUP30,,,,SPDUP20,,CRITUP20,,,,,,,,,,,,,,,,,,,,,,,ELEMUP30,,SCAPEGOAT,,,,,,,,,,,,,,,,DASH,,,,,,,,,,,,,CRITUP40,,SPDUP30,,,,,,,GOLDUP50,,,,,,,,,SPDUP40
ZOMBIE,POISON,,,,LUCK_UP,,,ACCUP20,MGUARDUP20,,ELEMUP20,,,,REFLECT,GROUNDED,GROUNDED,,,,,,,,NIGHT_OWL,ACCUP20,POWUP20,,,,,ELEMUP20,,,,,,,,,,,,MGUARDUP20,POISON,,,,,,,,MACH_HIT,,,,,,,,,MACH_HIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAGE,,,,,,
WOLFSUIT,,EARLY_BIRD,,,,,,,MGUARDUP20,,,,,,,ACCUP30,POWUP30,,,,,CRITUP20,,,NIGHT_OWL,GROUNDED,,,,,GUARDUP30,MGUARDUP30,,,,POWUP20,ACCUP20,MGUARDUP20,,,,MACH_HIT,,,,,,POWUP30,,,,,,,,,POWUP20,,,,,,POWUP30,,,,,,,,RETALIATE,,,,,,,,,DEVIL_LUCK,,,,,,,,,,,,,,,,,,POWUP30,POWUP30,
REDPANTS,PROVOKE,,SPDUP30,,,,,,,SPDUP20,,ACCUP30,,,,GUTS,GUTS,SPDUP30,,,,MACH_HIT,,,GUTS,,,,,,,,,JAMMY,SPDUP20,SPDUP20,,,SPDUP20,,,,GUTS,,,,,,,,SPDUP20,,,,,,,,,,SPDUP20,SPDUP30,,,,,,,,,,,ELEMUP20,,,,,,,,,,,,SPDUP40,,UNFAIR,,,,ACROBAT,,,,,,,,,NO_GUARD
INVCLOAK,CRITUP30,SPDUP30,,,,,,,SPDUP20,ACCUP20,ELEMUP20,,,,SLOWHIT,SPDUP10,POWUP20,POWUP20,,,,POWUP20,SPDUP20,RECOVERY2,KILLER,SPDUP10,,,MGUARDUP20,SURPRISE,GUARDUP10,,ELEMUP20,,,,,WEAKNESSUP,SPDUP30,,,,,,,,,,,SPDUP10,,,POISON,,,,,SURPRISE,,ABSORPTION,,SPDUP20,,,,,,,MGUARDUP20,,ARMTWISTER,,,,,,,,,,,,,,,,,,,,SPDUP30,,,,,,,,,
CARDBOX,GUTS,ACCUP10,,,,,,POWUP10,ELEMUP10,,,,,,,POWUP10,GUARDUP10,,,STINKY,,,ACCUP10,,,,,,,,GUARDUP10,ELEMUP10,,,,,,POISON,,,,,,,,SLOWHIT,PARALYSE,,,,,,,BIGDEFENSE,,,,,,,,,,,,,,,,,,,,,CRITUP30,,,,,ARMTWISTER,,,,,,,,,,,AVOID_RISK,ACCUP30,,,,,,,,EXPUP50
MERTAIL,RECOVERY5,,,,,,,POWUP20,ANALYSIS,,HEALER,,,,ELEMUP20,,,,,POWUP20,,SPDUP30,,MAGIC_HIT,,,,,RECOVERY5,,,,,MGUARDUP20,,,PETUP30,MACH_HIT,,CRITUP20,,,,,,,,,,,,SLOWHIT,,,,,,,,MGUARDUP30,,,,,,WEAKNESSUP,,,POWUP30,,,,ELEMUP30,,,,,,,,,,,,,,,,,POWUP30,,,,,,,PARALYSE,,,
FLYSUIT,MACH_HIT,SUPERMACH,,,,,ACCUP20,,SPDUP10,,,,,,POWUP10,,,,,CRITUP20,,ACCUP20,,,POWUP20,,,,,,,,,,RECOVERY5,,,RECOVERY2,,,,,,,PETUP30,,,,,,,,,,,,,,,,,,,,,POWUP20,GUARDUP20,POWUP10,,,,,,,,,RECOVERY10,,,,,,,,,,,,,,,,,,,RAGE,PARALYSE,,,
MOLEARMR,SPDUP30,,,SPDUP30,,,,,,,,,,,,SPDUP30,MACH_HIT,,,,,,,,,,SPDUP30,,,,,MACH_HIT,,,,,,,,,,SPDUP30,,,,,,SPDUP30,,,,,,RECOVERY2,,,POWUP30,,,,,,ARMTWISTER,,,,,,EXPUP30,,,,,,,,,,,,,,BIGDEFENSE,,,,,,,,COUNTER,VIGILANCE,,,,,,WARPER,,
GOREARMR,BIDE,,,,,,,,,,WEAKNESSUP,WEAKNESSUP,WEAKNESSUP,,,POWUP30,,,,,,KILLER,,,,MACH_HIT,,,,,,,,,,,,,,,,,,,,,,,ABSORPTION,,,,,,,,,,,,,,,,,,ARMTWISTER,CURSED,,,POWUP20,,,,,,,,,,MGUARDUP20,,,,,POWUP30,,,,,,POWUP30,BIDE,UNFAIR,POWUP40,,,,,RAGE
TIGHTS,,ACROBAT,,,,,,,SPDUP20,ACROBAT,,,,,,,,SPDUP20,ACROBAT,,,,,,POWUP20,,,,,,GUARDUP20,,,,,SPDUP30,,,,,,,,SPDUP20,,,,,,,,,,,,DASH,,SURPRISE,,,,,POWUP20,,,,,,,,,,,,,,,,,,,WARPER,,,ACCUP30,,ACCUP40,,,,SURPRISE,,,,,GUTS,SPDUP40,,,
CLUCK,,SPDUP20,,,,,,,,,,,,,,,,,,,,DASH,UNFAIR,,,,,,,,,,,,DEMONDASH,,,,,,,,,,,,,,,LUCKY,,WEAKNESSUP,,,,,,,,,,,,,,,,,,,,,EARLY_BIRD,,,,,,,,,SPDUP30,,,,,,,,,AVOID_RISK,,DEMONDASH,,,,,,,
CAT_EARS,,,SPELL,,SURPRISE,MGUARDUP30,ACCUP20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEMONDASH,,,,,,,,ACROBAT,,,,,,GOLDDIGGER,,,,,,,,HEALER,,,MACH_HIT,,,,,,MGUARDUP30,ACCUP30,,POWUP30,,,,ELEMUP20,MGUARDUP40,,,,,,,DISCOVERY,,,,,,ACCUP30,,,,GUARDUP30,,ACCUP40,,,,
PRIEST,,,WEAKNESSUP,,,,,,,,,,,,,,,,,,,,,,,,MAGIC_HIT,,,,,,,BIGDEFENSE,,,,,,,,,,,EXPUP30,,,,,,,,COUNTER,,,,,,,,,POWUP30,,,,,,,,TREAUP20,,WEAKNESSUP,,,,SLOWHIT,,,,,,,EXPUP30,,,,,,,,GUARDUP50,,,REFLECT,,,,,ELEMUP40,
BALLET,SPDUP30,,,,,,,,,ACCUP20,ELEMUP30,,ELEMUP30,,,,,,,,,ACROBAT,,,,,,DASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACCUP30,,,,ACCUP30,,,,,,,,,,,,MACH_HIT,,,,,CRITUP30,,,SPDUP40,,,,ACCUP40,,ACCUP40,
UNIFORM,EXPUP20,CRITUP20,,,,,ANALYSIS,,,ACCUP20,,,,,ACCUP30,,,,,,POWUP20,,,,,,,,WEAKNESSUP,,,,,DEATHMARCH,,,,,,,,,,,POWUP30,,RECOVERY5,,,,,,,,,,,UNFAIR,,,,,,,GOLDDIGGER,,,,GUTS,GROUNDED,,,POWUP20,JAMMY,EXPUP30,,PROVOKE,,,,,,MADMAN,,,,,,,,,WEAKNESSUP,,,,GOLDUP30,,,,
TAOIST,,,SPELL,,,EXP_FARMER,,,RECOVERY10,,,,,,,,,,,,,,,SPELL,,,,,,,,,,,,,TREAUP30,,,,,,,,SPELL,,,,,GOLDUP30,COUNTER,,,,,,,,,SPDUP30,,,,,,,,,,EARLY_BIRD,,SPELL,,,,SPELL,,,,,,,,MADMAN,,,,,,,,,ELEMUP30,,,,,,,
CAMO,,CRITUP40,,,,,,,SPDUP40,,,,,,,POWUP40,,,,,,,ACCUP30,,,,,,,,,,,,,,JAMMY,,,,CRITUP40,GROUNDED,,,,,,POWUP40,,,,,,,ARMTWISTER,,,,,,,,,,,,,,,,,,,,,,,,CRITUP30,SPDUP20,,,,,,ACCUP20,AVOID_RISK,,,,,,,,,PETUP30,,SURPRISE,,BIDE
BONESUIT,GUTS,,,,POISON,,,,,POWUP30,,,ELEMUP30,,UNFAIR,,,,,,,,,SPELL,CRITUP40,,,,,,,,,,,,,,POWUP40,,,,,,SUPERMACH,,,,ACCUP40,,,,,,,,,,,,,COUNTER,,,,,,ACCUP40,,,,,,DEATHMARCH,,,,,,,,POWUP20,,,,,,,POWUP20,,,,,,ACCUP40,,POWUP40,,MGUARDUP40,
TRUNKS,,,,,,,,,,,ELEMUP40,,,,,,,,ACCUP40,,,,,,,,,,GOLDUP40,,,,,,RECOVERY10,,FENG_SHUI,SUPERMACH,,,,,,,,,,,,,,,,,,,POWUP40,,,,,,,,,ARMTWISTER,,,UNFAIR,,,,,,,,,,,,,,,,,,,,,,PROVOKE,,,,,,GUTS,,,
QIPAO,,POWUP40,,,JAMMY,,,,,,,,,ELEMUP40,,,,,SUPERMACH,,,CRITUP40,,,,,,,,,GUARDUP40,,,,,,,,,,,,,ELEMUP40,,,,,,GOLDUP40,,,,,,POWUP40,,,,,,,SPDUP40,,,,,,EXPUP40,,,,,,,,,REFLECT,,,,,,,,CRITUP30,COUNTER,,,,,,POWUP30,,,,SPDUP50,,PARALYSE,
DIVINER,,,WEAKNESSUP,,EXP_FARMER,MADMAN,,,,,,,,,DISCOVERY,,,,,,,,,MGUARDUP40,,,,REFLECT,FENG_SHUI,,,,,ANALYSIS,,,,,,,,,,,,,,,,GOLDDIGGER,,,KILLER,,,,,,,WARPER,,,,,,,,,,,,,,AVOID_RISK,,,,,,,,,ACCUP30,,,,,,,,,,,,,,,,KILLER,
SUPERMAN,,,,,,,,,,,,,,,,ACCUP40,POWUP40,,,,,CRITUP40,,,,EXPUP40,,,,,SPDUP40,,ELEMUP40,,,,,,,,,,SUPERMACH,,,,,,,,,,,,,,,,BIDE,,POWUP40,,,,,,,,,,,,,,,,,,BIDE,,,,,,,,,,,,CRITUP50,POWUP40,,,,,,WALL,,
ONESIE,,,,POWUP40,,,,,FENG_SHUI,,,,,,,,RETALIATE,,,,,,,,,,COUNTER,,,UNFAIR,,,,,,BODYSLAM,,JAMMY,,,,,,,,RECOVERY10,RECOVERY10,,,,,SLOWHIT,,,,,,ANALYSIS,,,,,,,EXP_FARMER,,,,JAMMY,,,,DEVIL_LUCK,,,,ABSORPTION,,,,,,,HEALER,,,,,,,,,,,,RECOVERY5,GROUNDED,,,
TANKTOP,DISCOVERY,,,,,,,,NIGHT_OWL,,,,,,ELEMUP40,,,ACCUP40,,,,,,,SPDUP40,,,CRITUP40,,,,,POWUP30,,,,,,,COUNTER,,UNFAIR,,ACROBAT,ELEMUP40,,,,CRITUP30,,POWUP40,,,,,ACCUP40,,,,,,,,DEMONDASH,,,,,,,,,,,,,,,,,,ACCUP20,,,,,,,,,UNFAIR,,CRITUP30,,,SLOWHIT,,,CRITUP40,
KILLER,,,,CRITUP40,,,,,,,,ELEMUP40,WEAKNESSUP,POWUP40,,UNFAIR,,,,,,,,,POWUP40,,ACCUP40,,,,GUARDUP40,,ELEMUP40,,,,,,,,POWUP40,MACH_HIT,,,,,,,,,,,,,COUNTER,,,,UNFAIR,,BODYSLAM,POWUP40,WALL,,,,ARMTWISTER,NO_GUARD,,,,,,,,,,,MACH_HIT,POWUP20,,,,,,,,,,,,GUARDUP30,ARMTWISTER,,CRITUP30,,RAGE,,,POWUP50
PRISONER,,,,,,,,,,,,,,,,POWUP40,,SPDUP40,,,,,POWUP40,,,,,,,,,,,,ARMTWISTER,JAMMY,,,SURPRISE,,GROUNDED,UNFAIR,,,,,,,,GOLDUP40,,,,,,,CRITUP40,MADMAN,CHANCE,,,,,,,,,,,AVOID_RISK,,,,,,,,,,,RETALIATE,,,,,DEMONDASH,WARPER,,ACCUP30,,POWUP30,,JAMMY,,,,LUCK_UP,AVOID_RISK,,SPDUP30
MONK,FENG_SHUI,,SPELL,,,GROUNDED,,POWUP30,MGUARDUP40,,,,,,ACCUP40,,,,,POWUP40,GOLDUP40,,,ELEMUP40,,,MAGIWALL,,ELEMUP40,ANALYSIS,,POWUP40,,DISCOVERY,,,,,,,,,,,,,,,,,SPELL,WALL,MAGIWALL,,,,,,,ACCUP40,,,,POWUP30,,,,,,MACH_HIT,,MGUARDUP40,,,,MADMAN,,,,,,,,ACCUP20,,,,,,,,,,,,,,,ANALYSIS,
MILITANT,ACCUP40,,,,,,,,,,WEAKNESSUP,ACCUP40,POWUP40,,,,,,,,,,,,,POWUP40,,,,,,,ACCUP40,,,,,,,,CRITUP30,,,,,,,,,,,,,,,,,,,,,,,SPDUP40,,,GUARDUP40,CRITUP40,,,,,,,,,,,,ACCUP30,GUARDUP40,,,,,SPDUP20,,POWUP20,,,,,COUNTER,POWUP40,,,POWUP50,,,GUARDUP50
AFRO,,,,,UNFAIR,,,,,,,,,,,,SUPERMACH,ACCUP40,,,,CRITUP40,,,,JAMMY,BODYSLAM,,,,,,,,DEVIL_LUCK,,SURPRISE,,,,,,GUARDUP40,,COUNTER,SLOWHIT,,,,JAMMY,,,,,,,DEVIL_LUCK,,,,,,,,,,,,EXP_FARMER,,UNFAIR,,,,,,,,,,,,,,ACROBAT,,,,,,SUPERMACH,ACCUP30,,,,,,GUARDUP30,,
HOCKEY,REFLECT,,,UNFAIR,,,,POWUP40,,,,,ELEMUP40,,,,GUARDUP40,,,,,,,,,,,ARMTWISTER,,,,GROUNDED,,,,,,,,ACROBAT,,POWUP40,,,CRITUP40,,,,,,,,,,,,MACH_HIT,,,,,,COUNTER,,,,GUARDUP40,,,,ACCUP40,,,,,,,,,,,,,,,,,,ACCUP30,,ACCUP30,DEMONDASH,,,POWUP30,,,NO_GUARD,POWUP50,
QUEENLY,KILLER,ANALYSIS,,,DISCOVERY,,,,GUARDUP40,,,,MGUARDUP40,,,,,POWUP40,,ARMTWISTER,,ACCUP40,,,,SPDUP40,POWUP40,,,CRITUP40,,,ELEMUP30,,,,,,ACCUP40,ACCUP40,,,,,,JAMMY,FENG_SHUI,,,UNFAIR,,DEVIL_LUCK,,,BIDE,,,,,GOLDUP40,,,,RETALIATE,SURPRISE,,,,SUPERMACH,,,,,,,,PETUP30,,,,,,,,CRITUP30,,,,,MGUARDUP40,CRITUP40,,SURPRISE,GOLDUP40,SPDUP30,SPDUP30,CRITUP40,,COUNTER,
HAREMPNT,,,,BIDE,PROVOKE,,GUARDUP30,WEAKNESSUP,,ACROBAT,,POWUP20,,,,RETALIATE,,MADMAN,POWUP50,,EXPUP20,,,POWUP30,,,CRITUP30,ELEMUP20,,,ACCUP50,,,,,SPDUP30,,,,,,,GUARDUP30,,,,,,,,,,,,,POWUP50,,,,,,,DEMONDASH,,,,,,LUCK_UP,,,,,,,,,,,,,SURPRISE,,,,CRITUP40,,,,,EXPUP30,,ELEMUP20,,,,,,,
DWARFAMR,GUARDUP50,,,POWUP50,,,EXPUP40,,SPDUP40,,,,,,,RAGE,VIGILANCE,,ACCUP30,,POWUP30,,,,,GUARDUP40,ACCUP50,,,EXPUP30,ARMTWISTER,SUPERMACH,,,RECOVERY5,GOLDUP20,AVOID_RISK,,ACCUP30,,POWUP30,POWUP40,BODYSLAM,,,,,DASH,,,,,,GUTS,ACCUP30,,GOLDUP20,,,,BIDE,,ACCUP30,,,,ARMTWISTER,,,,CRITUP40,,,,PETUP50,,,,,,ACCUP20,,,SLOWHIT,,,,,GUARDUP30,,,GROUNDED,,CRITUP20,,ANALYSIS,,SUPERMACH,,
SKOOLBOY,,UNFAIR,,CRITUP50,LUCK_UP,SLOWHIT,,,SPDUP50,,,,,,AVOID_RISK,,,POWUP30,,EXPUP50,NO_GUARD,,,,,,,ELEMUP40,RECOVERY5,,,,,EXP_FARMER,LUCK_UP,,SUPERMACH,,,ACCUP40,,,SURPRISE,,,GOLDUP50,GOLDUP50,,,,ELEMUP40,ABSORPTION,,,,,,,ELEMUP40,,,,,CHANCE,BRAT,UNFAIR,,,BRAT,ACCUP40,,,SUPERMACH,,EXPUP50,,LUCK_UP,ELEMUP40,DEMONDASH,,,,POWUP50,ACCUP30,,,,,,,,,,,,DISCOVERY,,,,EXP_FARMER
ASSASSIN,CRITUP40,KILLER,,,DEVIL_LUCK,,,,,ACCUP50,,,,,ABSORPTION,BIDE,,SPDUP50,,,,CRITUP40,SURPRISE,,POWUP50,,,,,,VIGILANCE,,,,,ACROBAT,,,,,,,,ELEMUP40,ELEMUP30,,,,WARPER,,,,FENG_SHUI,,,GUARDUP40,,ACCUP40,PARALYSE,,,,UNFAIR,ACCUP30,,,,ELEMUP40,,,POWUP30,,,NIGHT_OWL,,,,,,ARMTWISTER,,KILLER,,,,POWUP30,ACCUP40,,,,,,MGUARDUP30,,KILLER,,KILLER,,,
TORASUIT,,NOGUARD,,,,,,ACCUP40,,,ELEMUP30,,,SPDUP40,,,,,PETUP50,,,,,,ACCUP30,ARMTWISTER,,,,,,POWUP30,ELEMUP30,,RECOVERY10,SPDUP40,,BRAT,,,,BIDE,,,,,,CRITUP30,,,,SURPRISE,,MACH_HIT,,,,,,,,ACCUP30,POWUP50,,,,,,,,ACCUP30,,CRITUP40,,,,,,,ACCUP40,,SPDUP20,,COUNTER,,,,GUARDUP20,ARMTWISTER,,GUTS,,,ELEMUP30,,,,,,
PAJAMAS,,,ELEMUP50,,SUPERMACH,HEALER,,,ABSORPTION,,POWUP50,,PARALYSE,,,,,JAMMY,,STINKY,,,ACCUP40,,,MGUARDUP40,,UNFAIR,MGUARDUP50,,,CRITUP50,,GUARDUP40,BODYSLAM,,JAMMY,RETALIATE,,,ACCUP30,,SPDUP30,BIDE,,BRAT,,,SUPERMACH,,,POWUP50,,,,,,GOLDUP30,,SLOWHIT,,,,,,MADMAN,GUARDUP40,MGUARDUP50,CHANCE,UNFAIR,MACH_HIT,ELEMUP40,EXPUP40,CRITUP50,,MGUARDUP50,BRAT,,ACCUP30,,GUARDUP30,,,LUCK_UP,ACROBAT,,,,,MADMAN,,,,ELEMUP40,ELEMUP30,,,,UNFAIR,
EXPLORER,VIGILANCE,TREAUP30,,SUPERMACH,POWUP50,GUARDUP50,ACCUP40,,POWUP50,SPDUP30,ELEMUP50,TREAUP20,LUCK_UP,PARALYSE,FENG_SHUI,,TREAUP30,,ACCUP50,,,,POWUP50,,SPDUP30,,,GOLDUP50,FENG_SHUI,,,EXPUP40,POWUP50,DISCOVERY,,GUTS,MADMAN,GROUNDED,ACCUP40,,POWUP50,EXPUP30,,POISON,GOLDDIGGER,,,GUARDUP30,,GOLDDIGGER,,,DEVIL_LUCK,,CRITUP50,,ACCUP30,LUCK_UP,MGUARDUP50,FENG_SHUI,ARMTWISTER,,,,TREAUP20,SPDUP50,GUARDUP40,DEVIL_LUCK,BRAT,TREAUP20,,,,ACROBAT,ANALYSIS,,,GUARDUP50,ELEMUP40,CRITUP40,,,REFLECT,,,ACCUP30,POWUP40,,,,,,MGUARDUP40,GUARDUP40,,ACCUP40,SPDUP30,GOLDUP50,ANALYSIS,SUPERMACH
KAMEN,GUARDUP40,SPDUP50,,,,,,,,,POWUP40,ELEMUP40,SLOWHIT,POWUP50,,ACCUP30,,,CRITUP40,,POWUP50,ACCUP40,,,,GUARDUP40,,,,,MGUARDUP40,NO_GUARD,ELEMUP50,,,POWUP40,,,,POWUP40,,ACCUP40,SUPERMACH,SURPRISE,,ACROBAT,,,,DEMONDASH,,HEALER,,,POWUP40,ACCUP50,,GUARDUP30,ELEMUP50,,POWUP30,GUARDUP40,GUTS,SURPRISE,,,GUARDUP50,PROVOKE,GOLDUP40,,,,,,,,,,RAGE,VIGILANCE,MGUARDUP40,,,,,,,,ACCUP30,POWUP40,SPDUP50,POWUP30,ELEMUP40,MGUARDUP40,,EXPUP20,DEMONDASH,,,
TOPKNOT,TREAUP30,GROUNDED,,,,,,VIGILANCE,,,,,,,,,,,,EXP_FARMER,,SURPRISE,,,,,,,,,,GOLDUP30,,,,,RECOVERY5,,,,,,,,,,,,,,WEAKNESSUP,,,,,,,,,,,,,MADMAN,,,,,,,,,,,,,,,,,,,,,,,,POWUP50,,,,,,,,,,,,ACCUP30
OGREPNTS,,,,TREAUP30,,,,POWUP50,,,,,,,KILLER,RETALIATE,UNFAIR,,,,,,,,,POWUP40,CRITUP50,,,BIDE,,,,,,,,,PETUP50,,,COUNTER,,,,,,,,,,,,,,EXPUP40,,,,,GUARDUP40,ARMTWISTER,,,,,BODYSLAM,,,,POWUP50,,,,,,,,,,,,,,,,ACCUP50,,,,,GUARDUP50,ELEMUP40,,,,,SUPERMACH,,UNFAIR
PONYTAIL,,DEMONDASH,,,POWUP50,,,,,,,,SUPERMACH,,,,,,,GOLDUP50,,CRITUP50,,,KILLER,,POWUP50,BIDE,,,,,,,EXP_FARMER,,,SUPERMACH,VIGILANCE,MADMAN,,,,,,SLOWHIT,MGUARDUP50,,,PARALYSE,,SLOWHIT,KILLER,PETUP50,,,,,,MGUARDUP50,,,WARPER,,EXPUP50,,,,COUNTER,RAGE,DEMONDASH,,MAGIWALL,DISCOVERY,,,RECOVERY10,GUARDUP50,,,,,,ELEMUP40,,,,,,ACCUP50,,,,,,,PARALYSE,,BIDE,POWUP30
HEATARMR,MAGIC_HIT,,MGUARDUP50,,,,,SUPERMACH,,,SPDUP40,ELEMUP50,,,,POWUP40,,,,,,,,,,GUTS,,,,,,,,,,,,,,,,,,,,,,RETALIATE,,,,,,,,POWUP40,,,,,GROUNDED,POWUP50,CRITUP50,,,,MGUARDUP50,CRITUP50,,,,,,,,,,,,,POWUP40,,,,,ACCUP40,,,,,,,RAGE,,,,,,,ACCUP30
SNOWHITE,,KILLER,,,,FENG_SHUI,,,,,POISON,,SPELL,,,,,POWUP50,,,,LUCK_UP,,MGUARDUP50,,ACCUP40,,ELEMUP50,,,,,,,,,,GUARDUP50,,,,,,POWUP40,SPDUP40,ABSORPTION,MAGIWALL,,,,,,,,,,,RETALIATE,,ACROBAT,,,,,,,,,BRAT,,,EXPUP40,,,,HEALER,,,,,,,,,,,,,,,,,,,,,MADMAN,,POWUP50,
